,Defect,Charge,Formation Energy (eV),Concentration (cm^-3),Charge State Population,Total Concentration (cm^-3),Fermi Level,Electrons (cm^-3),Holes (cm^-3),Annealing Temperature,Quenched Temperature
19,Te_i_Td_Te2.83,-1,4.848,1.283107248558296e-45,0.0%,1.5456532168898435e-16,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
20,Te_i_Td_Te2.83,-2,7.119,4.482025233516813e-84,0.0%,1.5456532168898435e-16,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
21,v_Cd,0,3.15,3.152890964937007e-23,0.0%,9.684523009132948e-11,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
22,v_Cd,-1,2.828,1.0817676647693046e-17,0.0%,9.684523009132948e-11,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
23,v_Cd,-2,2.36,9.68452192736213e-11,100.0%,9.684523009132948e-11,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
24,v_Te,2,1.374,18701540.66243207,100.0%,18701553.929766417,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
25,v_Te,1,2.198,5.317849051719843e-07,0.0%,18701553.929766417,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
26,v_Te,0,1.787,13.267333815117375,0.0%,18701553.929766417,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
27,v_Te,-1,2.826,1.857068652171757e-16,0.0%,18701553.929766417,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
28,v_Te,-2,3.421,9.18911380332039e-27,0.0%,18701553.929766417,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
